Site,RainThresh
ne250865,2.9
ne251145,4.3
ne251200,0.9
ne251365,2.2
ne251415,2.1
ne251560,0.7
ne251575,3.5
ne251825,-0.9
ne252000,3.3
ne252020,-0.2
ne252065,3
ne252100,1.3
ne252145,4.6
ne252205,0.2
ne252741,2.8
ne252805,0.2
ne252820,-0.6
ne252850,-1.2
ne253050,0
ne253175,0.3
ne253185,0.6
ne253365,0.6
ne253395,-0.4
ne253425,0.8
ne253595,0.8
ne253605,4.6
ne253615,4.2
ne253630,0.7
ne253660,0.3
ne253690,2.6
ne253735,-0.5
ne253910,1.2
ne254110,4.1
ne254335,0.5
ne254440,4.3
ne254455,2.5
ne254795,-1.3
ne254985,1.2
ne255090,3.8
ne255310,1.7
ne255388,1.4
ne255565,1.1
ne255810,-1.1
ne255925,3.5
ne255995,-0.1
ne256065,1.5
ne256075,2.2
ne256135,1.1
ne256167,2.1
ne256200,2.8
ne256255,-1.4
ne256290,1.4
ne256375,0.6
ne256385,2.6
ne256570,0
ne256970,2.5
ne257040,-0.3
ne257070,-0.5
ne257665,2
ne257715,0.1
ne257830,3.5
ne258320,0.9
ne258395,-1.5
ne258465,-1.4
ne258480,-0.8
ne258628,3.1
ne258755,3.2
ne258760,1.9
ne258915,1.1
ne258920,2.5
ne259200,-0.3
nh270690,-1.2
nh271683,-3
nh272174,-2.5
nh272999,-1.8
nh273850,-1.7
nh274399,-2.7
nh274556,-2.3
nh275211,-2.6
nh275639,-4.4
nh275712,-2
nh276818,-1.1
nj280311,-3.5
nj280325,1
nj281335,-2.4
nj281351,1
nj281582,-3.1
